,cleaned_entity_name,entity_name,lei,isin,LEI
9913,TCL Ace Electrical AppliancesHuizhou,TCL Ace Electrical Appliances(Huizhou),,,
9914,Tcl Commercial Information Technology Huizhou,Tcl Commercial Information Technology (Huizhou),,,
9915,TCL Electronics Huizhou,TCL Electronics (Huizhou),,,
9916,TCL Huake Energy Internet Guizhou,TCL Huake Energy Internet (Guizhou),,,
9917,Teck Coal,Teck Coal,,,
9918,Tengxian Xinlongyuan Biomass Thermal Power,Tengxian Xinlongyuan Biomass Thermal Power,,,
9919,Tengzhou Enterprise State Owned Assets Management,Tengzhou Enterprise State Owned Assets Management,,,
9920,Tengzhou Guozhuang Mining,Tengzhou Guozhuang Mining,,,
9921,Tengzhou Industrial Assets Operation,Tengzhou Industrial Assets Operation,,,
9922,Tengzhou Juneng Development Investment,Tengzhou Juneng Development Investment,,,
9923,Tengzhou Stateowned Assets Supervision and Administration Bureau,Tengzhou State-owned Assets Supervision and Administration Bureau,,,
9924,Thabong Coal,Thabong Coal,,,
9925,The ExportImport Bank of China Chongqing Branch,The Export-Import Bank of China Chongqing Branch,,,
9926,The Monongalia County Coal,The Monongalia County Coal Company,,,
9927,The Postage For This Management,The Postage For This Management,,,
9928,The Third Exploration Team of Anhui Coalfield Geology Bureau,The Third Exploration Team of Anhui Coalfield Geology Bureau,,,
9929,Thebe Investment Corporation,Thebe Investment Corporation,,,
9930,Therma Power,Therma Power,,,
9931,Thermal Branch of Tongjiang Changheng Thermal Power,Thermal Branch of Tongjiang Changheng Thermal Power,,,
9932,Three Gorges Capital Holding,Three Gorges Capital Holding,,,
9933,Three Gorges Electric Power,Three Gorges Electric Power,,,
9934,Three Gorges Technology,Three Gorges Technology,,,
9935,Tiandi Science  Technology,Tiandi Science & Technology,,,
9936,Tianjin Beichen District Construction and Development,Tianjin Beichen District Construction and Development,,,
9937,Tianjin Beichen District Peoples Government Stateowned Assets Supervision and Administration Commission,Tianjin Beichen District People's Government State-owned Assets Supervision and Administration Commission,,,
9938,Tianjin Beichen Hitech Industrial Park General,Tianjin Beichen Hi-tech Industrial Park General,,,
9939,Tianjin Benfu Equity Investment Fund Management,Tianjin Benfu Equity Investment Fund Management,,,
9940,Tianjin Binjiang Helicopter,Tianjin Binjiang Helicopter,,,
9941,Tianjin BoHai Stateowned Assets Management,Tianjin BoHai State-owned Assets Management,,,
9942,Tianjin Chenhuan Industrial Park Management,Tianjin Chenhuan Industrial Park Management,,,
9943,Tianjin Chenrong Investment Holding,Tianjin Chenrong Investment Holding,,,
9944,Tianjin Crystal Equity Investment Fund Partnership,Tianjin Crystal Equity Investment Fund Partnership,,,
9945,Tianjin Donghua Yongtai Asset Management Partnership,Tianjin Donghua Yongtai Asset Management Partnership,,,
9946,Tianjin Dongjiang Investment Holding,Tianjin Dongjiang Investment Holding,,,
9947,Tianjin Everbright Xingchen Environmental Energy,Tianjin Everbright Xingchen Environmental Energy,,,
9948,Tianjin Gas Group,Tianjin Gas Group,,,
9949,Tianjin Guoyu Commercial,Tianjin Guoyu Commercial,,,
9950,Tianjin Guoyu Enterprise Service,Tianjin Guoyu Enterprise Service,,,
9951,Tianjin Hengdong Yiran Culture Development,Tianjin Hengdong Yiran Culture Development,,,
